單字,翻譯,英文例句,中文例句
circuit,電路、巡迴,The technician repaired the circuit.,技術人員修好了電路。
circumstance,情況、環境,"Under these circumstances, we canceled the trip.",在這種情況下，我們取消了旅行。
cite,引用,The lawyer cited a famous case.,律師引用了一個著名案例。
citizen,公民,Every citizen has the right to vote.,每位公民都有投票權。
city,城市,Paris is a beautiful city.,巴黎是一座美麗的城市。
civil,公民的、民事的,He filed a civil lawsuit.,他提出了一個民事訴訟。
civilian,平民,Civilians were protected during the war.,戰爭期間保護了平民。
claim,聲稱、索取,He claimed compensation for the damage.,他要求損壞的賠償。
clarify,澄清,She clarified the company’s position.,她澄清了公司的立場。
clarity,清楚,The clarity of the speech impressed everyone.,這次演講的清晰度讓大家印象深刻。
clash,衝突,The two groups clashed in the street.,兩個團體在街上發生衝突。
class,班級、課程,She is in an English class.,她正在上英文課。
classic,經典的,It’s a classic novel.,這是一本經典小說。
classical,古典的,He enjoys classical music.,他喜歡古典音樂。
classification,分類,The system allows easy classification of documents.,這個系統能輕鬆分類文件。
classify,分類,The documents were classified by type.,文件依種類分類。
classroom,教室,The classroom is large and bright.,教室又大又明亮。
clause,條款,The contract includes a penalty clause.,合約包含罰款條款。
clean,乾淨的、打掃,Please clean your desk before leaving.,請在離開前清理桌子。
clear,清楚的、清除,His message was clear and simple.,他的訊息清楚又簡單。
clearance,清倉、清除,The shop is having a clearance sale.,商店正在清倉特賣。
clearly,清楚地,She clearly explained the problem.,她清楚地解釋了問題。
clerk,職員、店員,The clerk answered my questions.,店員回答了我的問題。
clever,聰明的,That was a clever idea.,那真是個聰明的點子。
client,客戶,The lawyer spoke with her client.,律師和她的客戶交談。
climate,氣候,The climate here is warm.,這裡的氣候很溫暖。
climb,爬,They climbed the mountain yesterday.,他們昨天爬了山。
clinic,診所,She works at a health clinic.,她在健康診所工作。
clock,時鐘,The clock stopped at midnight.,時鐘在午夜停止了。
close,關閉、接近,The shop closes at 8 p.m.,商店晚上八點關門。
closed,關閉的,The museum is closed on Sundays.,博物館週日不開放。
closely,緊密地,We worked closely with the team.,我們和團隊緊密合作。
closet,衣櫥,She put her clothes in the closet.,她把衣服放進衣櫥裡。
chemical,化學的、化學品,The factory produces chemical products.,這間工廠生產化學產品。
chemist,化學家、藥劑師,She works as a chemist in a pharmacy.,她在藥局當藥劑師。
chemistry,化學,He is studying chemistry at university.,他在大學主修化學。
chest,胸部、櫃子,He felt pain in his chest.,他感到胸口疼痛。
chicken,雞、雞肉,They had roast chicken for dinner.,他們晚餐吃烤雞。
chief,首領、主要的,The chief engineer explained the plan.,總工程師解釋了這個計畫。
child,孩子,The child is learning to read.,小孩正在學習閱讀。
childhood,童年,She spent her childhood in the countryside.,她在鄉下度過童年。
chip,晶片、薄片,The new phone uses an advanced chip.,這支新手機使用先進的晶片。
chocolate,巧克力,He gave her a box of chocolates.,他送了她一盒巧克力。
choice,選擇,This restaurant has many choices.,這家餐廳有很多選擇。
choose,選擇,She chose the blue dress.,她選了藍色洋裝。
chop,砍、切,He chopped the wood into pieces.,他把木頭劈成小塊。
church,教堂,They got married in a church.,他們在教堂結婚。
cigar,雪茄,He smoked a cigar after dinner.,他晚餐後抽了一支雪茄。
cigarette,香菸,Smoking cigarettes is harmful.,抽菸有害健康。
cinema,電影院,We went to the cinema last night.,我們昨晚去電影院。
circle,圓圈,Draw a circle on the paper.,在紙上畫一個圓圈。
circuit,電路、巡迴,The technician repaired the circuit.,技術人員修好了電路。
circumstance,情況、環境,"Under these circumstances, we canceled the trip.",在這種情況下，我們取消了旅行。
cite,引用,The lawyer cited a famous case.,律師引用了一個著名案例。
citizen,公民,Every citizen has the right to vote.,每位公民都有投票權。
city,城市,Paris is a beautiful city.,巴黎是一座美麗的城市。
civil,公民的、民事的,He filed a civil lawsuit.,他提出了一個民事訴訟。
civilian,平民,Civilians were protected during the war.,戰爭期間保護了平民。
claim,聲稱、索取,He claimed compensation for the damage.,他要求損壞的賠償。
clarify,澄清,She clarified the company’s position.,她澄清了公司的立場。
clarity,清楚,The clarity of the speech impressed everyone.,這次演講的清晰度讓大家印象深刻。
clash,衝突,The two groups clashed in the street.,兩個團體在街上發生衝突。
class,班級、課程,She is in an English class.,她正在上英文課。
classic,經典的,It’s a classic novel.,這是一本經典小說。
classical,古典的,He enjoys classical music.,他喜歡古典音樂。
classification,分類,The system allows easy classification of documents.,這個系統能輕鬆分類文件。
classify,分類,The documents were classified by type.,文件依種類分類。
classroom,教室,The classroom is large and bright.,教室又大又明亮。
clause,條款,The contract includes a penalty clause.,合約包含罰款條款。
clean,乾淨的、打掃,Please clean your desk before leaving.,請在離開前清理桌子。
clear,清楚的、清除,His message was clear and simple.,他的訊息清楚又簡單。
clearance,清倉、清除,The shop is having a clearance sale.,商店正在清倉特賣。
clearly,清楚地,She clearly explained the problem.,她清楚地解釋了問題。
clerk,職員、店員,The clerk answered my questions.,店員回答了我的問題。
clever,聰明的,That was a clever idea.,那真是個聰明的點子。
client,客戶,The lawyer spoke with her client.,律師和她的客戶交談。
climate,氣候,The climate here is warm.,這裡的氣候很溫暖。
climb,爬,They climbed the mountain yesterday.,他們昨天爬了山。
clinic,診所,She works at a health clinic.,她在健康診所工作。
clock,時鐘,The clock stopped at midnight.,時鐘在午夜停止了。
close,關閉、接近,The shop closes at 8 p.m.,商店晚上八點關門。
closed,關閉的,The museum is closed on Sundays.,博物館週日不開放。
closely,緊密地,We worked closely with the team.,我們和團隊緊密合作。
closet,衣櫥,She put her clothes in the closet.,她把衣服放進衣櫥裡。
complain,抱怨,She often complains about the noise.,她經常抱怨噪音。
complaint,抱怨、申訴,The company received a complaint from a customer.,公司收到顧客的抱怨。
complete,完成的、完整的,He completed the report on time.,他準時完成了報告。
completely,完全地,The room was completely dark.,房間完全黑暗。
completion,完成,The project is near completion.,這個專案接近完成。
complex,複雜的、綜合體,The problem is too complex to solve quickly.,這個問題太複雜，無法快速解決。
complexity,複雜性,They discussed the complexity of the system.,他們討論了系統的複雜性。
complicate,使複雜化,The issue was complicated by legal problems.,這個問題因法律問題而變得複雜。
complicated,複雜的,The instructions are too complicated.,這些說明太複雜了。
component,組成部分、零件,This machine has many small components.,這台機器有很多小零件。
compose,組成、作曲,She composed a beautiful song.,她譜寫了一首美麗的歌曲。
composition,作文、組成,The teacher assigned a composition.,老師布置了一篇作文。
compound,化合物、複合的,Water is a compound of hydrogen and oxygen.,水是氫和氧的化合物。
comprehensive,全面的、綜合的,The company offers comprehensive insurance.,公司提供全面的保險。
comprise,包含,The committee comprises ten members.,委員會由十名成員組成。
compromise,妥協,They reached a compromise after long talks.,他們經過長時間談判達成妥協。
compulsory,強制性的,Wearing a seatbelt is compulsory.,繫安全帶是強制性的。
compute,計算,The computer quickly computed the results.,電腦很快算出結果。
computer,電腦,She uses a computer for work.,她用電腦工作。
conceal,隱藏,He concealed the truth from everyone.,他對大家隱瞞了真相。
concentrate,專注,She couldn’t concentrate because of the noise.,她因為噪音無法專心。
concentration,專注、集中,The game requires a lot of concentration.,這遊戲需要高度專注。
concept,概念,Freedom is a difficult concept to define.,自由是一個難以定義的概念。
concern,關心、擔憂,She is concerned about her health.,她擔心自己的健康。
concerned,關心的、擔憂的,The manager is concerned about sales.,經理很擔心銷售情況。
concerning,關於,He asked a question concerning the report.,他問了一個關於報告的問題。
concert,音樂會,They went to a rock concert.,他們去聽了一場搖滾音樂會。
conclude,結束、下結論,The meeting concluded at 5 p.m.,會議在下午五點結束。
conclusion,結論,The research led to an important conclusion.,研究得出了一個重要的結論。
concrete,混凝土、具體的,The floor is made of concrete.,地板是用混凝土做的。
condition,條件、狀況,The car is in good condition.,這輛車狀況良好。
conduct,指揮、進行,The scientist conducted an experiment.,科學家進行了一項實驗。
conference,會議,The annual conference will be held in Tokyo.,年度會議將在東京舉行。
confess,承認、懺悔,He confessed his mistake.,他承認了自己的錯誤。
confidence,信心、自信,She has confidence in her abilities.,她對自己的能力有信心。
confident,有信心的,He is confident about passing the exam.,他有信心通過考試。
confidential,機密的,The file contains confidential information.,這份文件包含機密資訊。
configuration,結構、配置,The software requires a special configuration.,這套軟體需要特別的配置。
confine,限制、監禁,The patient was confined to bed.,病人被限制在床上休養。
confirm,確認,Please confirm your reservation.,請確認您的預訂。
confirmation,確認,She received confirmation of her flight.,她收到航班的確認通知。
conflict,衝突,The two countries are in conflict.,這兩個國家正處於衝突中。
confront,面對、對抗,She confronted him about the problem.,她當面質問他這個問題。
confusion,混亂,The fire caused panic and confusion.,火災引起了恐慌與混亂。
congratulate,恭喜,We congratulated her on her promotion.,我們祝賀她升職。
congratulation,祝賀,He received congratulations from his friends.,他收到了朋友們的祝賀。
congress,國會,Congress passed a new law.,國會通過了一項新法律。
connect,連接,Please connect your phone to the charger.,請把手機連接到充電器上。
connection,連接、關係,There is a strong connection between diet and health.,飲食和健康之間有密切關係。
conquer,征服,The army conquered the city.,軍隊征服了這座城市。
conscience,良心,His conscience told him to tell the truth.,他的良心告訴他要說出真相。
conscious,有意識的,She was conscious during the operation.,她在手術過程中是清醒的。
consciousness,意識,He lost consciousness after the accident.,他在事故後失去意識。
consecutive,連續的,He won the award for three consecutive years.,他連續三年獲得獎項。
consensus,共識,The team reached a consensus on the project.,團隊對專案達成了共識。
consent,同意,She gave her consent to the plan.,她同意這個計畫。
consequence,後果,Every decision has a consequence.,每個決定都有後果。
conservative,保守的,He has a conservative attitude toward change.,他對變革持保守態度。
consider,考慮,Please consider my suggestion.,請考慮我的建議。
considerable,相當大的,She spent a considerable amount of money.,她花了相當多的錢。
considerate,體貼的,He is very considerate of others.,他很體貼他人。
consideration,考慮、體諒,"After careful consideration, she accepted the offer.",經過仔細考慮，她接受了這個提議。
consist,由…組成,The team consists of five members.,團隊由五個成員組成。
consistent,一致的,His performance is consistent with our expectations.,他的表現符合我們的期望。
constantly,不斷地,She constantly checks her phone.,她不斷查看手機。
constitute,構成,Twelve months constitute a year.,十二個月構成一年。
constitution,憲法、結構,The country has a written constitution.,這個國家有成文憲法。
construct,建造,They plan to construct a new bridge.,他們計畫建造一座新橋。
construction,建設、施工,The construction will take two years.,這項工程將耗時兩年。
consult,諮詢,You should consult a doctor.,你應該諮詢醫生。
consultation,諮詢、商議,The decision was made after consultation with experts.,這個決定是在與專家商議後做出的。
consultant,顧問,The company hired a financial consultant.,公司聘請了一位財務顧問。
consume,消耗、消費,He consumes too much sugar.,他攝取過多糖分。
consumer,消費者,The store offers discounts to attract consumers.,商店提供折扣以吸引消費者。
consumption,消費、消耗,The car has low fuel consumption.,這輛車油耗很低。
contact,聯絡,Please contact me by email.,請透過電子郵件聯絡我。
contain,包含,The box contains books.,這個箱子裡有書。
container,容器,She poured water into the container.,她把水倒進容器裡。
contemplate,考慮、凝視,He contemplated moving to another city.,他考慮搬到另一座城市。
contemporary,當代的,He prefers contemporary art.,他偏好當代藝術。
contend,爭論、主張,They contend that the law is unfair.,他們主張這項法律不公平。
contender,競爭者,He is a strong contender for the prize.,他是這個獎項的有力競爭者。
content,內容、滿意的,The book’s content is very interesting.,這本書的內容非常有趣。
contentment,滿足,She lived a life of peace and contentment.,她過著平靜滿足的生活。
contest,比賽,They entered a singing contest.,他們參加了一場歌唱比賽。
contestant,參賽者,The contestant sang beautifully.,參賽者唱得很動聽。
context,背景、上下文,The word has a different meaning in this context.,這個字在此上下文有不同意思。
continent,大陸,Africa is a large continent.,非洲是一個大陸。
continue,繼續,Please continue your work.,請繼續你的工作。
continuous,連續的,The machine works in a continuous process.,這台機器以連續流程運作。
contract,合約、收縮,They signed a three-year contract.,他們簽了一份三年的合約。
contractor,承包商,The contractor finished the building on time.,承包商準時完成了建築工程。
contradict,反駁、矛盾,His actions contradict his words.,他的行為和言語相矛盾。
contradiction,矛盾,There is a contradiction in his statement.,他的說法有矛盾。
contrary,相反的,His opinion is contrary to mine.,他的意見與我相反。
contrast,對比,There is a big contrast between the two styles.,這兩種風格之間差異很大。
contribute,貢獻、捐助,She contributed time and money to the project.,她為這個專案貢獻了時間和金錢。
contribution,貢獻,His contribution was valuable.,他的貢獻很有價值。
control,控制,He lost control of the car.,他失去了對車子的控制。
convenient,方便的,This store is convenient for me.,這家店對我來說很方便。
convenience,便利,The hotel provides every convenience for guests.,這家飯店為客人提供各種便利設施。
convention,慣例、大會,They attended an international convention.,他們參加了一個國際會議。
conventional,傳統的,He prefers conventional medicine.,他偏好傳統醫學。
conversation,對話,They had a long conversation.,他們進行了一次長談。
convert,轉變、改變,The factory was converted into a museum.,工廠被改建成博物館。
convey,傳達,She conveyed the message to her boss.,她把訊息傳達給了老闆。
convince,說服,He convinced her to join the team.,他說服她加入團隊。
cooperate,合作,The two companies agreed to cooperate on the project.,兩家公司同意在這項專案上合作。
cooperation,合作,We appreciate your cooperation.,我們感謝您的合作。
cooperative,樂於合作的,She is always cooperative in team projects.,她在團隊專案中總是很合作。
coordinate,協調、對齊,He coordinated the event successfully.,他成功協調了這場活動。
coordination,協調、配合,Good coordination is key in large projects.,良好的協調在大型專案中至關重要。
coordinator,協調人,The event coordinator arranged everything perfectly.,活動協調人把一切安排得很完美。
cop,警察（口語）,The cop directed traffic after the accident.,警察在事故後指揮交通。
cope,應對、處理,She had to cope with a lot of stress.,她必須應對很大的壓力。
copy,複製、份數,Please make a copy of this document.,請影印這份文件。
core,核心、重點,Trust is at the core of every relationship.,信任是每段關係的核心。
corporate,公司的,Corporate culture affects employee behavior.,企業文化會影響員工行為。
corporation,公司（法人）,The corporation is expanding overseas.,這家公司正在拓展海外市場。
correct,正確的、更正,Please correct the errors in the report.,請更正報告中的錯誤。
correction,更正,I made a correction to the schedule.,我對行程表做了修正。
correctly,正確地,Please answer the questions correctly.,請正確回答問題。
correlate,相關聯,Test scores often correlate with study time.,考試分數常與讀書時間有關。
correlation,關聯性,There is a strong correlation between sleep and performance.,睡眠與表現之間有很強的關聯。
correspondent,通訊記者,The foreign correspondent reported live from Paris.,外派記者從巴黎現場報導。
corresponding,相應的,Please fill in the corresponding field.,請填入相應的欄位。
cost,成本、花費,The total cost was higher than expected.,總成本比預期高。
costly,昂貴的,The repair was costly but necessary.,維修費用昂貴但有必要。
costume,服裝、戲服,She wore a traditional costume to the festival.,她穿著傳統服飾參加節慶。
cottage,小屋,They stayed in a cottage near the lake.,他們住在湖邊的小屋。
cough,咳嗽,He had a bad cough all week.,他整週都在咳嗽。
council,委員會、議會,The city council approved the new law.,市議會通過了新法律。
counselor,顧問、輔導員,A career counselor can help with job choices.,職涯顧問可以協助選擇工作方向。
count,計算、數,Count the number of participants.,計算參加人數。
counter,櫃檯、反對,She stood behind the reception counter.,她站在接待櫃檯後方。
counterpart,對應的人或物,The manager met with his Japanese counterpart.,經理與他的日本對口人員會面。
countless,無數的,There are countless opportunities in this field.,這個領域有無數機會。
country,國家,She traveled to many countries last year.,她去年去了很多國家。
countryside,鄉村,I prefer living in the countryside.,我比較喜歡住在鄉下。
couple,一對、幾個,A couple of employees left early.,有幾位員工提早離開。
courage,勇氣,It takes courage to start a new business.,創業需要勇氣。
course,課程、過程,He signed up for an English course.,他報名參加英文課程。
court,法院、球場,The case was brought to court.,案件被提交法院審理。
courtesy,禮貌,It’s common courtesy to say thank you.,說謝謝是基本禮貌。
cover,覆蓋、封面,This insurance covers all damages.,此保險涵蓋所有損失。
coverage,涵蓋範圍、報導,The news coverage was extensive.,新聞報導非常詳盡。
coworker,同事,He gets along well with his coworkers.,他和同事相處融洽。
crack,裂縫、破解,There’s a crack in the wall.,牆上有一道裂縫。
craft,工藝、手工藝,She sells handmade crafts online.,她在網路上賣手工藝品。
crash,撞擊、當機,The system crashed unexpectedly.,系統突然當機。
crawl,爬行,The baby began to crawl yesterday.,寶寶昨天開始學爬。
crazy,瘋狂的,That idea is totally crazy!,那個點子太瘋狂了！
create,創造,We plan to create a new website.,我們計畫打造一個新網站。
creation,創作、產物,The new product is a creation of the R&D team.,這項新產品是研發團隊的創作。
creative,有創意的,She's very creative with design.,她在設計上非常有創意。
creature,生物、動物,The forest is home to many wild creatures.,這座森林是許多野生動物的家。
credit,信用、學分、功勞,She received credit for her hard work.,她因努力而獲得讚賞。
crew,全體工作人員（尤指機組）,The flight crew prepared for landing.,機組人員準備降落。
crime,犯罪,The police are investigating the crime.,警方正在調查這起犯罪事件。
criminal,犯人、犯罪的,The criminal was caught last night.,罪犯昨晚被逮捕了。
crisis,危機,The company faced a financial crisis.,公司面臨財務危機。
criterion,標準（複數：criteria）,Experience is one important criterion for this job.,經驗是這份工作的關鍵標準之一。
criticize,批評,He criticized the report as inaccurate.,他批評這份報告不準確。
criticism,批評,Her work received harsh criticism.,她的作品受到嚴厲批評。
critic,評論家,The film received praise from critics.,電影獲得評論家的讚賞。
critical,批判的、關鍵的,It is critical to follow the instructions carefully.,仔細遵循指示非常關鍵。
criticism,批評,He is open to constructive criticism.,他樂於接受建設性的批評。
crop,農作物、收成,This year’s wheat crop is excellent.,今年的小麥收成很好。
cross,穿越、十字形,Be careful when you cross the street.,過馬路時要小心。
crowd,群眾、擁擠,A large crowd gathered in the square.,大批人群聚集在廣場上。
crowded,擁擠的,The train was very crowded this morning.,今早的火車非常擁擠。
crucial,關鍵的,Timing is crucial for this plan.,時機對這個計畫至關重要。
cruise,郵輪、巡航,They went on a Mediterranean cruise.,他們參加了地中海郵輪之旅。
crush,壓碎、迷戀,He accidentally crushed the box.,他不小心壓扁了那個盒子。
cry,哭泣、大叫,The baby began to cry loudly.,嬰兒開始大聲哭泣。
cultural,文化的,We should respect cultural differences.,我們應尊重文化差異。
culture,文化,Music is part of their culture.,音樂是他們文化的一部分。
cup,杯子,She drank a cup of coffee.,她喝了一杯咖啡。
cupboard,櫥櫃,The plates are in the cupboard.,盤子放在櫥櫃裡。
cure,治癒、療法,Scientists are looking for a cure for cancer.,科學家正在尋找治療癌症的方法。
curiosity,好奇心,His curiosity led him to explore new ideas.,他的好奇心驅使他探索新想法。
curious,好奇的,She was curious about the new student.,她對新來的學生很好奇。
currency,貨幣,What is the official currency of Japan?,日本的官方貨幣是什麼？
current,目前的、水流,What is your current address?,你目前的地址是什麼？
currently,目前地,We are currently hiring new staff.,我們目前正在招聘新員工。
curriculum,課程,The school has a new English curriculum.,學校有一套新的英文課程。
custom,習俗、海關,It’s their custom to bow when greeting.,他們有鞠躬問候的習俗。
customer,顧客,The shop always puts customers first.,這家店總是以顧客為先。
customize,客製化,You can customize your order online.,你可以在線上客製化訂單。
cut,切割、削減,We need to cut costs this quarter.,這一季我們必須削減成本。
cycle,循環、腳踏車,The water cycle is taught in science class.,水循環是科學課的內容之一。
daily,每日的,He reads the newspaper daily.,他每天都看報紙。
damage,損害,The storm caused a lot of damage.,暴風雨造成了嚴重損害。
damp,潮濕的,The room was cold and damp.,房間又冷又潮濕。
dance,跳舞,They danced all night at the party.,他們在派對上跳了一整晚。
dancer,舞者,She trained for years to become a dancer.,她訓練多年成為一位舞者。
danger,危險,There is a danger of falling rocks.,有落石危險。
dangerous,危險的,It’s dangerous to drive in this weather.,在這種天氣開車很危險。
dare,敢於,Do you dare to try something new?,你敢嘗試新事物嗎？
dark,黑暗的,It gets dark early in winter.,冬天很早就天黑了。
data,資料,We analyzed the data from the survey.,我們分析了調查資料。
database,資料庫,The system stores all information in a database.,系統將所有資訊儲存在資料庫中。
daily,每日的,He takes a daily walk in the park.,他每天都在公園散步。
damage,損害、破壞,The flood caused serious damage.,洪水造成嚴重損害。
damp,潮濕的,The basement was cold and damp.,地下室又冷又潮濕。
dance,跳舞,They love to dance at parties.,他們喜歡在派對上跳舞。
dancer,舞者,The dancer performed gracefully.,舞者的表演優雅迷人。
dangerous,危險的,It’s dangerous to text while driving.,開車時傳訊息很危險。
dare,敢、挑戰,Do you dare to try something new?,你敢嘗試新事物嗎？
dark,黑暗的、陰沉的,It gets dark early in winter.,冬天很早天就黑了。
data,資料、數據,The survey data is still being analyzed.,調查數據仍在分析中。
database,資料庫,We store all client information in a secure database.,我們將客戶資訊儲存在安全的資料庫中。
date,日期、約會,What’s today’s date?,今天是幾號？
daughter,女兒,He has two daughters.,他有兩個女兒。
dawn,黎明、開始,The dawn of a new era is coming.,一個新時代的黎明即將來臨。
day,白天、一天,It was a beautiful sunny day.,這是一個陽光明媚的日子。
deadline,截止日期,The deadline is next Friday.,截止日期是下週五。
deal,交易、處理,That’s a good deal on the car.,那輛車的交易很划算。
dealer,商人、經銷商,The car dealer gave us a discount.,汽車經銷商給了我們折扣。
debate,辯論、爭論,The candidates held a televised debate.,候選人進行了電視辯論。
debt,債務,He is trying to pay off his debts.,他正在努力還清債務。
decade,十年,The technology has evolved over the last decade.,這項技術在過去十年間持續進化。
decay,腐爛、衰退,The abandoned building is in decay.,那棟廢棄建築正在腐敗中。
deceive,欺騙,He deceived them with a fake story.,他用一個假故事欺騙了他們。
decent,體面的、正派的,She earns a decent salary.,她賺得一份體面的薪水。
decide,決定,Have you decided where to go?,你決定好要去哪了嗎？
decision,決定,It was a difficult decision.,這是個艱難的決定。
declare,宣布、聲明,The country declared independence.,該國宣布獨立。
decline,減少、婉拒,Sales have declined this year.,今年的銷售額下降了。
decorate,裝飾,We decorated the house for Christmas.,我們為聖誕節裝飾了房子。
decoration,裝飾品,The decorations are beautiful.,這些裝飾品很漂亮。
decrease,減少,There was a decrease in profits.,利潤出現下降。
dedicate,奉獻、致力,He dedicated his life to education.,他奉獻一生給教育。
dedication,奉獻精神,Her dedication to the job is impressive.,她對工作的奉獻令人敬佩。
deduct,扣除,Taxes were deducted from his paycheck.,稅金已從他的薪資中扣除。
deed,行為、契約,That was a brave deed.,那是一個勇敢的行為。
deem,認為,The project was deemed successful.,這個專案被認為是成功的。
deep,深的,The lake is very deep.,這座湖很深。
defeat,打敗、失敗,Our team was defeated in the final match.,我們隊在決賽中落敗。
defect,缺陷,The product has a manufacturing defect.,這項產品有製造缺陷。
defend,防禦、辯護,He defended himself in court.,他在法庭上為自己辯護。
defense,防禦、防守,The defense was strong throughout the game.,全場比賽防守非常嚴密。
deficit,赤字、虧損,The company posted a large deficit.,公司出現大幅赤字。
define,定義,How do you define success?,你如何定義成功？
definition,定義、說明,The dictionary gives a clear definition.,字典提供了清楚的定義。
definite,明確的,We need a definite answer by Monday.,我們星期一前需要一個明確答覆。
definitely,毫無疑問地,I’ll definitely be there on time.,我一定會準時到。
degree,程度、學位,She has a degree in economics.,她擁有經濟學學位。
delay,延遲,The flight was delayed due to weather.,因天氣因素航班延誤了。
delete,刪除,Please delete that email.,請刪除那封郵件。
deliver,遞送、發表,The package was delivered this morning.,包裹今天早上送達。
delivery,遞送、交貨,The delivery will arrive tomorrow morning.,貨物將於明早送達。
demand,需求、要求,There is high demand for this product.,這項產品的需求很高。
demanding,要求高的、吃力的,This is a very demanding job.,這是一份非常吃力的工作。
demonstrate,展示、證明,He demonstrated how the machine works.,他示範了這台機器的操作方式。
demonstration,示範、示威,The cooking demonstration drew a large crowd.,烹飪示範吸引了大量觀眾。
denial,否認、拒絕,His denial was not convincing.,他的否認並不令人信服。
deny,否認、拒絕,She denied any wrongdoing.,她否認有任何不當行為。
depart,出發、離開,The train will depart at 10 a.m.,火車將於上午10點出發。
department,部門,Please contact the sales department.,請聯絡業務部門。
departure,離開、出發,What time is your flight's departure?,你的航班幾點起飛？
depend,依賴、取決於,It depends on the weather.,這取決於天氣情況。
dependable,可靠的,He is a dependable team member.,他是個可靠的團隊成員。
dependent,依賴的、家屬,Children are dependent on their parents.,小孩依賴父母。
depict,描述、描繪,The painting depicts a peaceful village.,那幅畫描繪出一個寧靜的村莊。
deposit,存款、押金,She made a deposit at the bank.,她在銀行存了錢。
depress,使沮喪、壓下,The news really depressed him.,那則新聞讓他很沮喪。
depression,憂鬱、不景氣,The economy is in a state of depression.,經濟正處於蕭條狀態。
depth,深度,The pool has a depth of 2 meters.,泳池深度為2公尺。
deputy,副職、代理人,The deputy manager will lead the meeting.,副經理將主持這次會議。
derive,起源於、取得,The word derives from Latin.,這個字源自拉丁文。
descend,下降、下來,The plane began to descend.,飛機開始下降。
describe,描述,Can you describe the suspect?,你能描述一下嫌疑犯嗎？
description,描述,The job description is quite detailed.,這份職缺的說明相當詳細。
desert,沙漠、拋棄,They crossed the desert by jeep.,他們開吉普車穿越沙漠。
deserve,應得,She deserves the promotion.,她應得這次升遷。
design,設計,He designed the company’s new logo.,他設計了公司新的標誌。
desire,渴望,She has a strong desire to travel.,她非常渴望去旅行。
desk,書桌、辦公桌,The report is on your desk.,報告放在你的書桌上。
desperate,絕望的、極度渴望的,He was desperate for help.,他急需幫助。
despite,儘管,"Despite the rain, the event continued.",儘管下雨，活動仍持續進行。
destination,目的地,Paris is a popular travel destination.,巴黎是熱門的旅遊目的地。
destroy,破壞,The fire destroyed the building.,火災摧毀了這棟建築。
destruction,毀滅,The earthquake caused massive destruction.,地震造成了巨大的破壞。
detail,詳情、細節,He explained every detail of the plan.,他解釋了這個計畫的每一個細節。
detect,偵測、察覺,The scanner can detect hidden weapons.,掃描器能偵測隱藏的武器。
detection,偵測、發現,Early detection of cancer saves lives.,癌症早期偵測可以挽救生命。
detective,偵探,The detective solved the case quickly.,偵探迅速破案。
determination,決心,Her determination impressed everyone.,她的決心讓大家印象深刻。
determine,決定、判定,The exam results will determine your grade.,考試成績將決定你的分數。
develop,發展、培養,The company plans to develop new software.,公司計畫開發新軟體。
development,發展、開發,The project is still in development.,該專案仍在開發中。
device,裝置、設備,This device can track your steps.,這個裝置可以計步。
devote,奉獻、致力,He devotes his time to teaching.,他致力於教學工作。
devoted,忠誠的、投入的,She is a devoted employee.,她是位敬業的員工。
diagram,圖表,Please refer to the diagram on page 3.,請參考第三頁的圖表。
dialogue,對話,The movie had great dialogue.,那部電影的對話很精彩。
differ,不同,Their opinions differ on the topic.,他們在這個議題上的看法不同。
difference,差異,What’s the difference between these models?,這些型號有什麼不同？
different,不同的,We have different approaches.,我們的方法不同。
delivery,遞送、交貨,The delivery will arrive tomorrow morning.,貨物將於明早送達。
demand,需求、要求,There is high demand for this product.,這項產品的需求很高。
demanding,要求高的、吃力的,This is a very demanding job.,這是一份非常吃力的工作。
demonstrate,展示、證明,He demonstrated how the machine works.,他示範了這台機器的操作方式。
demonstration,示範、示威,The cooking demonstration drew a large crowd.,烹飪示範吸引了大量觀眾。
denial,否認、拒絕,His denial was not convincing.,他的否認並不令人信服。
deny,否認、拒絕,She denied any wrongdoing.,她否認有任何不當行為。
depart,出發、離開,The train will depart at 10 a.m.,火車將於上午10點出發。
department,部門,Please contact the sales department.,請聯絡業務部門。
departure,離開、出發,What time is your flight's departure?,你的航班幾點起飛？
depend,依賴、取決於,It depends on the weather.,這取決於天氣情況。
dependable,可靠的,He is a dependable team member.,他是個可靠的團隊成員。
dependent,依賴的、家屬,Children are dependent on their parents.,小孩依賴父母。
depict,描述、描繪,The painting depicts a peaceful village.,那幅畫描繪出一個寧靜的村莊。
deposit,存款、押金,She made a deposit at the bank.,她在銀行存了錢。
depress,使沮喪、壓下,The news really depressed him.,那則新聞讓他很沮喪。
depression,憂鬱、不景氣,The economy is in a state of depression.,經濟正處於蕭條狀態。
depth,深度,The pool has a depth of 2 meters.,泳池深度為2公尺。
deputy,副職、代理人,The deputy manager will lead the meeting.,副經理將主持這次會議。
derive,起源於、取得,The word derives from Latin.,這個字源自拉丁文。
descend,下降、下來,The plane began to descend.,飛機開始下降。
describe,描述,Can you describe the suspect?,你能描述一下嫌疑犯嗎？
description,描述,The job description is quite detailed.,這份職缺的說明相當詳細。
desert,沙漠、拋棄,They crossed the desert by jeep.,他們開吉普車穿越沙漠。
deserve,應得,She deserves the promotion.,她應得這次升遷。
design,設計,He designed the company’s new logo.,他設計了公司新的標誌。
desire,渴望,She has a strong desire to travel.,她非常渴望去旅行。
